trans_dt,A,B,O,AB,code_len,dow,day,month,year,week,ds,hol_dur,hol_lower,hol_upper,TOTAL
2013-05-09,23.0,64.5,58.5,19.0,208,3,9,5,2013,19,,,,,165.0
2013-05-10,45.0,41.0,60.5,18.0,222,4,10,5,2013,19,,,,,164.5
2013-05-11,22.5,9.5,31.0,5.0,144,5,11,5,2013,19,,,,,68.0
2013-05-12,40.5,32.0,33.5,4.5,150,6,12,5,2013,19,,,,,110.5
2013-05-13,47.0,40.0,54.5,16.5,186,0,13,5,2013,20,,,,,158.0
2013-05-14,57.0,57.5,42.0,18.0,196,1,14,5,2013,20,,,,,174.5
2013-05-15,90.5,60.0,55.0,13.5,202,2,15,5,2013,20,,,,,219.0
2013-05-16,59.5,43.0,59.0,17.0,230,3,16,5,2013,20,,,,,178.5
2013-05-17,38.5,70.0,76.0,20.0,202,4,17,5,2013,20,,,,,204.5
2013-05-18,31.5,28.0,23.0,8.0,148,5,18,5,2013,20,,,,,90.5
2013-05-19,44.0,18.0,19.0,6.5,108,6,19,5,2013,20,,,,,87.5
2013-05-20,44.5,33.0,70.0,11.5,198,0,20,5,2013,21,,,,,159.0
2013-05-21,64.5,74.0,63.0,28.5,184,1,21,5,2013,21,,,,,230.0
2013-05-22,37.5,51.5,47.0,8.0,160,2,22,5,2013,21,,,,,144.0
2013-05-23,40.0,83.5,41.5,10.0,224,3,23,5,2013,21,,,,,175.0
2013-05-24,37.0,59.5,61.5,5.0,186,4,24,5,2013,21,,,,,163.0
2013-05-25,23.0,43.0,27.5,8.0,150,5,25,5,2013,21,,,,,101.5
2013-05-26,9.5,32.0,9.5,4.0,106,6,26,5,2013,21,,,,,55.0
2013-05-27,39.0,30.0,58.5,13.0,172,0,27,5,2013,22,,,,,140.5
2013-05-28,43.0,89.0,47.5,12.0,190,1,28,5,2013,22,,,,,191.5
2013-05-29,60.0,57.0,60.5,12.0,196,2,29,5,2013,22,,,,,189.5
2013-05-30,50.0,44.5,45.0,21.0,190,3,30,5,2013,22,,,,,160.5
2013-05-31,32.5,68.0,34.0,14.0,202,4,31,5,2013,22,,,,,148.5
2013-06-01,29.5,29.0,17.5,13.0,162,5,1,6,2013,22,,,,,89.0
2013-06-02,19.5,28.5,17.0,9.0,150,6,2,6,2013,22,,,,,74.0
2013-06-03,58.0,45.5,40.0,26.0,190,0,3,6,2013,23,,,,,169.5
2013-06-04,51.0,51.5,66.5,18.5,196,1,4,6,2013,23,,,,,187.5
2013-06-05,30.0,27.5,47.5,18.5,174,2,5,6,2013,23,,,,,123.5
2013-06-06,63.0,35.0,54.0,11.0,178,3,6,6,2013,23,,,,,163.0
2013-06-07,48.5,47.0,34.5,22.0,168,4,7,6,2013,23,,,,,152.0
2013-06-08,29.0,51.5,54.0,6.0,178,5,8,6,2013,23,,,,,140.5
2013-06-09,29.0,48.0,41.0,9.0,156,6,9,6,2013,23,,,,,127.0
2013-06-10,15.0,23.0,18.0,9.0,142,0,10,6,2013,24,2013-06-10,3.0,-1.0,1.0,65.0
2013-06-11,14.5,12.5,27.0,1.0,106,1,11,6,2013,24,2013-06-11,3.0,-1.0,1.0,55.0
2013-06-12,12.5,18.0,20.5,6.5,118,2,12,6,2013,24,2013-06-12,3.0,-1.0,1.0,57.5
2013-06-13,21.5,47.5,35.5,2.0,162,3,13,6,2013,24,,,,,106.5
2013-06-14,49.0,53.0,39.0,16.0,162,4,14,6,2013,24,,,,,157.0
2013-06-15,9.0,22.0,19.5,2.0,102,5,15,6,2013,24,,,,,52.5
2013-06-16,25.0,13.0,15.5,7.5,150,6,16,6,2013,24,,,,,61.0
2013-06-17,36.0,31.0,45.0,7.5,136,0,17,6,2013,25,,,,,119.5
2013-06-18,49.5,47.0,51.0,10.5,222,1,18,6,2013,25,,,,,158.0
2013-06-19,67.5,39.0,42.0,22.5,196,2,19,6,2013,25,,,,,171.0
2013-06-20,52.0,30.0,37.0,11.0,204,3,20,6,2013,25,,,,,130.0
2013-06-21,33.0,59.5,48.0,11.5,166,4,21,6,2013,25,,,,,152.0
2013-06-22,28.5,38.0,24.0,15.5,156,5,22,6,2013,25,,,,,106.0
2013-06-23,38.5,20.0,27.0,11.0,138,6,23,6,2013,25,,,,,96.5
2013-06-24,35.0,31.0,53.5,19.0,190,0,24,6,2013,26,,,,,138.5
2013-06-25,48.5,36.0,47.5,16.0,174,1,25,6,2013,26,,,,,148.0
2013-06-26,55.5,41.5,50.5,6.5,208,2,26,6,2013,26,,,,,154.0
2013-06-27,24.5,50.5,56.0,5.5,222,3,27,6,2013,26,,,,,136.5
2013-06-28,33.0,46.5,34.0,24.5,190,4,28,6,2013,26,,,,,138.0
2013-06-29,24.0,35.0,33.0,12.0,162,5,29,6,2013,26,,,,,104.0
2013-06-30,23.5,26.0,21.5,6.0,118,6,30,6,2013,26,,,,,77.0
2013-07-01,52.5,57.5,30.0,23.0,202,0,1,7,2013,27,,,,,163.0
2013-07-02,33.5,56.5,49.5,21.0,208,1,2,7,2013,27,,,,,160.5
2013-07-03,44.0,44.5,67.0,12.5,204,2,3,7,2013,27,,,,,168.0
2013-07-04,44.5,50.5,23.5,37.5,216,3,4,7,2013,27,,,,,156.0
2013-07-05,25.5,48.5,56.5,11.0,192,4,5,7,2013,27,,,,,141.5
2013-07-06,19.0,47.5,18.5,7.0,138,5,6,7,2013,27,,,,,92.0
2013-07-07,13.5,36.0,30.0,16.0,144,6,7,7,2013,27,,,,,95.5
2013-07-08,51.0,42.0,55.5,16.0,150,0,8,7,2013,28,,,,,164.5
2013-07-09,35.0,53.5,62.5,13.0,168,1,9,7,2013,28,,,,,164.0
2013-07-10,53.5,36.0,89.5,16.0,222,2,10,7,2013,28,,,,,195.0
2013-07-11,46.0,36.0,45.0,32.0,200,3,11,7,2013,28,,,,,159.0
2013-07-12,63.0,54.5,50.5,18.0,234,4,12,7,2013,28,,,,,186.0
2013-07-13,16.5,30.5,37.5,4.0,136,5,13,7,2013,28,,,,,88.5
2013-07-14,25.0,14.0,30.5,4.0,118,6,14,7,2013,28,,,,,73.5
2013-07-15,50.0,40.0,42.5,21.0,204,0,15,7,2013,29,,,,,153.5
2013-07-16,49.0,56.5,48.0,31.0,204,1,16,7,2013,29,,,,,184.5
2013-07-17,62.5,65.0,65.5,25.5,216,2,17,7,2013,29,,,,,218.5
2013-07-18,40.0,33.5,55.5,10.0,208,3,18,7,2013,29,,,,,139.0
2013-07-19,46.0,37.0,39.5,14.0,234,4,19,7,2013,29,,,,,136.5
2013-07-20,23.5,26.0,47.0,16.0,130,5,20,7,2013,29,,,,,112.5
2013-07-21,19.0,19.0,38.5,9.0,114,6,21,7,2013,29,,,,,85.5
2013-07-22,31.5,50.5,50.5,22.0,166,0,22,7,2013,30,,,,,154.5
2013-07-23,58.5,52.0,46.5,11.0,198,1,23,7,2013,30,,,,,168.0
2013-07-24,48.0,64.0,48.0,14.5,184,2,24,7,2013,30,,,,,174.5
2013-07-25,51.5,45.0,29.5,32.0,210,3,25,7,2013,30,,,,,158.0
